File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;File Lines;Learning;NbOthors
tensorflow\python\eager\graph_callable.py;Ali Yahya             ;317;77.3170731707317;Akshay Agrawal        ;43;10.487804878048781;Alexandre Passos      ;40;9.75609756097561;A. Unique TensorFlower;3;0.7317073170731707;Igor Ganichev         ;9;2.1951219512195124;Allen Lavoie          ;3;0.7317073170731707;410;false;6
tensorflow\python\eager\tape.py;Mark Heffernan        ;37;40.21739130434783;Alexandre Passos      ;48;52.17391304347826;Igor Ganichev         ;2;2.1739130434782608;Ali Yahya             ;6;6.521739130434782;Asim Shankar          ;2;2.1739130434782608;A. Unique TensorFlower;2;2.1739130434782608;92;false;6
tensorflow\python\framework\device.py;A. Unique TensorFlower;2;0.6896551724137931;Manjunath Kudlur      ;199;68.62068965517241;Vijay Vasudevan       ;5;1.7241379310344827;Anna R                ;3;1.0344827586206897;RJ Ryan               ;77;26.551724137931036;Derek Murray          ;9;3.103448275862069;290;false;6
tensorflow\python\keras\_impl\keras\layers\wrappers.py;Francois Chollet      ;405;82.65306122448979;Allen Lavoie          ;3;0.6122448979591837;Anna R                ;5;1.0204081632653061;Anjali Sridhar        ;77;15.714285714285714;Eugene Brevdo         ;2;0.40816326530612246;A. Unique TensorFlower;3;0.6122448979591837;490;false;6
tensorflow\python\lib\io\tf_record.py;A. Unique TensorFlower;44;32.11678832116788;Manjunath Kudlur      ;71;51.824817518248175;Vijay Vasudevan       ;5;3.6496350364963503;Jonathan Hseu         ;14;10.218978102189782;Anna R                ;6;4.37956204379562;Patrick Nguyen        ;2;1.4598540145985401;137;false;6
tensorflow\python\ops\data_flow_grad.py;A. Unique TensorFlower;20;23.80952380952381;Manjunath Kudlur      ;41;48.80952380952381;Vijay Vasudevan       ;22;26.19047619047619;Josh Levenberg        ;2;2.380952380952381;Yuan Yu               ;2;2.380952380952381;Shanqing Cai          ;2;2.380952380952381;84;false;6
tensorflow\python\ops\distributions\dirichlet.py;A. Unique TensorFlower;98;32.77591973244147;Joshua V. Dillon      ;189;63.21070234113712;Eugene Brevdo         ;9;3.0100334448160537;Anna R                ;3;1.0033444816053512;Ian Langmore          ;3;1.0033444816053512;Yifei Feng            ;2;0.6688963210702341;299;false;6
tensorflow\python\ops\distributions\dirichlet_multinomial.py;A. Unique TensorFlower;111;32.08092485549133;Joshua V. Dillon      ;210;60.69364161849711;Eugene Brevdo         ;21;6.069364161849711;Anna R                ;3;0.8670520231213873;Shanqing Cai          ;2;0.5780346820809249;Ian Langmore          ;4;1.1560693641618498;346;false;6
tensorflow\python\ops\distributions\gamma.py;A. Unique TensorFlower;115;37.45928338762215;Olivia Nordquist      ;2;0.6514657980456026;Eugene Brevdo         ;13;4.234527687296417;Anna R                ;3;0.9771986970684039;Joshua V. Dillon      ;174;56.67752442996743;Ian Langmore          ;5;1.6286644951140066;307;false;6
tensorflow\python\ops\distributions\normal.py;A. Unique TensorFlower;87;30.96085409252669;Eugene Brevdo         ;85;30.249110320284696;Olivia Nordquist      ;2;0.7117437722419929;Anna R                ;3;1.0676156583629892;Joshua V. Dillon      ;92;32.74021352313167;Ian Langmore          ;17;6.049822064056939;281;false;6
tensorflow\python\ops\distributions\transformed_distribution.py;A. Unique TensorFlower;127;20.751633986928105;Joshua V. Dillon      ;416;67.97385620915033;Eugene Brevdo         ;26;4.248366013071895;Patrick Nguyen        ;2;0.32679738562091504;Ian Langmore          ;43;7.026143790849673;Jonathan Hseu         ;3;0.49019607843137253;612;false;6
tensorflow\python\ops\distributions\uniform.py;A. Unique TensorFlower;101;49.509803921568626;Olivia Nordquist      ;2;0.9803921568627451;Eugene Brevdo         ;5;2.450980392156863;Anna R                ;3;1.4705882352941178;Joshua V. Dillon      ;95;46.568627450980394;Ian Langmore          ;3;1.4705882352941178;204;false;6
tensorflow\python\ops\distributions\util.py;Eugene Brevdo         ;553;41.33034379671151;Ian Langmore          ;85;6.352765321375187;Joshua V. Dillon      ;686;51.270553064275035;Shanqing Cai          ;2;0.14947683109118087;A. Unique TensorFlower;12;0.8968609865470852;Yong Tang             ;5;0.37369207772795215;1338;false;6
tensorflow\python\ops\linalg\linear_operator_composition.py;Ian Langmore          ;271;96.44128113879003;Eugene Brevdo         ;2;0.7117437722419929;Anna R                ;3;1.0676156583629892;Jonathan Hseu         ;2;0.7117437722419929;A. Unique TensorFlower;6;2.1352313167259784;Patrick Nguyen        ;2;0.7117437722419929;281;false;6
tensorflow\python\ops\linalg\linear_operator_low_rank_update.py;Ian Langmore          ;432;93.70932754880694;Eugene Brevdo         ;17;3.6876355748373104;Anna R                ;3;0.6507592190889371;A. Unique TensorFlower;4;0.8676789587852495;Joshua V. Dillon      ;8;1.735357917570499;Patrick Nguyen        ;2;0.43383947939262474;461;false;6
tensorflow\python\platform\sysconfig.py;A. Unique TensorFlower;2;2.2222222222222223;Manjunath Kudlur      ;42;46.666666666666664;Patrick Nguyen        ;16;17.77777777777778;Andrew Harp           ;27;30;Anna R                ;6;6.666666666666667;Allen Lavoie          ;2;2.2222222222222223;90;false;6
tensorflow\python\saved_model\loader_impl.py;Patrick Nguyen        ;173;70.90163934426229;A. Unique TensorFlower;22;9.01639344262295;David Soergel         ;4;1.639344262295082;Anna R                ;4;1.639344262295082;Sukriti Ramesh        ;42;17.21311475409836;Michael Case          ;4;1.639344262295082;244;false;6
tensorflow\python\tools\inspect_checkpoint.py;A. Unique TensorFlower;69;44.23076923076923;Sherry Moore          ;52;33.333333333333336;Vijay Vasudevan       ;22;14.102564102564102;Justine Tunney        ;5;3.2051282051282053;Illia Polosukhin      ;3;1.9230769230769231;Yifei Feng            ;10;6.410256410256411;156;false;6
tensorflow\python\tools\saved_model_cli.py;A. Unique TensorFlower;607;83.03693570451436;Michael Case          ;3;0.4103967168262654;Yifei Feng            ;96;13.132694938440492;Shanqing Cai          ;16;2.188782489740082;Hee Jung Ryu          ;11;1.5047879616963065;Benoit Steiner        ;3;0.4103967168262654;731;false;6
tensorflow\python\training\ftrl.py;A. Unique TensorFlower;185;68.77323420074349;Manjunath Kudlur      ;76;28.25278810408922;Vijay Vasudevan       ;6;2.2304832713754648;Olivia Nordquist      ;2;0.7434944237918215;Anna R                ;3;1.1152416356877324;Jonathan Hseu         ;2;0.7434944237918215;269;false;6
tensorflow\python\training\queue_runner_impl.py;Patrick Nguyen        ;416;88.13559322033899;Mustafa Ispir         ;15;3.1779661016949152;Shanqing Cai          ;13;2.7542372881355934;Anna R                ;6;1.271186440677966;A. Unique TensorFlower;22;4.661016949152542;Derek Murray          ;5;1.0593220338983051;472;false;6
tensorflow\python\training\session_manager.py;A. Unique TensorFlower;260;48.059149722735675;Sherry Moore          ;188;34.750462107208875;Anna R                ;3;0.5545286506469501;Mustafa Ispir         ;91;16.820702402957487;Zongheng Yang         ;2;0.36968576709796674;Jonathan Hseu         ;2;0.36968576709796674;541;false;6
tensorflow\python\training\training_ops.py;A. Unique TensorFlower;1;3.8461538461538463;Manjunath Kudlur      ;19;73.07692307692308;Vijay Vasudevan       ;5;19.23076923076923;Yifei Feng            ;2;7.6923076923076925;Josh Levenberg        ;2;7.6923076923076925;Olivia Nordquist      ;2;7.6923076923076925;26;false;6
tensorflow\python\util\tf_should_use.py;Eugene Brevdo   ;141;87.5776397515528;Allen Lavoie    ;12;7.453416149068323;Frank Chen      ;2;1.2422360248447204;Vijay Vasudevan ;6;3.7267080745341614;Igor Ganichev   ;2;1.2422360248447204;Alexandre Passos;3;1.8633540372670807;161;false;6
