File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;File Lines;Learning;NbOthors
tensorflow\python\keras\_impl\keras\utils\training_utils.py;Francois Chollet;180;86.95652173913044;Anna R          ;3;1.4492753623188406;Anjali Sridhar  ;26;12.560386473429952;207;false;3
tensorflow\python\ops\bitwise_ops.py;A. Unique TensorFlower;40;88.88888888888889;Peter Hawkins         ;5;11.11111111111111;Eugene Brevdo         ;2;4.444444444444445;45;false;3
tensorflow\python\ops\confusion_matrix.py;A. Unique TensorFlower;195;98.48484848484848;Anna R                ;3;1.5151515151515151;Eugene Brevdo         ;2;1.0101010101010102;198;false;3
tensorflow\python\ops\metrics.py;A. Unique TensorFlower;52;80;Patrick Nguyen        ;13;20;Dumitru Erhan         ;2;3.076923076923077;65;false;3
tensorflow\python\ops\summary_op_util.py;A. Unique TensorFlower;105;98.13084112149532;Taehoon Lee           ;2;1.8691588785046729;Alan Yee              ;2;1.8691588785046729;107;false;3
tensorflow\python\ops\weights_broadcast_ops.py;A. Unique TensorFlower;165;97.63313609467455;Hanna Revinskaya      ;2;1.183431952662722;Vijay Vasudevan       ;4;2.366863905325444;169;false;3
tensorflow\python\ops\distributions\bijector.py;Joshua V. Dillon      ;22;73.33333333333333;A. Unique TensorFlower;5;16.666666666666668;Eugene Brevdo         ;5;16.666666666666668;30;false;3
tensorflow\python\ops\distributions\identity_bijector.py;A. Unique TensorFlower;62;95.38461538461539;Eugene Brevdo         ;2;3.076923076923077;Anna R                ;3;4.615384615384615;65;false;3
tensorflow\python\ops\linalg\linalg.py;A. Unique TensorFlower;35;77.77777777777777;Eugene Brevdo         ;10;22.22222222222222;Anna R                ;2;4.444444444444445;45;false;3
tensorflow\python\ops\linalg\linalg_impl.py;A. Unique TensorFlower;108;93.91304347826087;Anna R                ;4;3.4782608695652173;Joshua V. Dillon      ;5;4.3478260869565215;115;false;3
tensorflow\python\ops\losses\losses.py;A. Unique TensorFlower;39;78;Sergio Guadarrama     ;2;4;Patrick Nguyen        ;11;22;50;false;3
tensorflow\python\ops\losses\util.py;A. Unique TensorFlower;105;89.74358974358974;Anna R                ;7;5.982905982905983;Andrew Selle          ;7;5.982905982905983;117;false;3
tensorflow\python\profiler\model_analyzer.py;A. Unique TensorFlower;412;98.0952380952381;Anna R                ;5;1.1904761904761905;Shanqing Cai          ;5;1.1904761904761905;420;false;3
tensorflow\python\profiler\option_builder.py;A. Unique TensorFlower;462;99.35483870967742;Anna R                ;3;0.6451612903225806;Yong Tang             ;2;0.43010752688172044;465;false;3
tensorflow\python\saved_model\loader.py;Sukriti Ramesh;63;81.81818181818181;Patrick Nguyen;14;18.181818181818183;Justine Tunney;2;2.5974025974025974;77;false;3
