File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;File Lines;Learning;NbOthors
tensorflow\python\framework\graph_to_function_def.py;Alexandre Passos    ;176;92.63157894736842;Igor Ganichev       ;7;3.6842105263157894;Skye Wanderman-Milne;2;1.0526315789473684;Derek Murray        ;8;4.2105263157894735;190;false;4
tensorflow\python\framework\graph_util.py;A. Unique TensorFlower;1;2.4390243902439024;Manjunath Kudlur      ;19;46.34146341463415;Vijay Vasudevan       ;5;12.195121951219512;Patrick Nguyen        ;19;46.34146341463415;41;false;4
tensorflow\python\framework\registry.py;A. Unique TensorFlower;2;2.150537634408602;Manjunath Kudlur      ;80;86.02150537634408;Vijay Vasudevan       ;5;5.376344086021505;Karl Lattimer         ;9;9.67741935483871;93;false;4
tensorflow\python\framework\subscribe.py;A. Unique TensorFlower;328;93.71428571428571;Jonathan Hseu         ;9;2.5714285714285716;Skye Wanderman-Milne  ;14;4;Benoit Steiner        ;2;0.5714285714285714;350;false;4
tensorflow\python\keras\_impl\keras\callbacks.py;Francois Chollet;1076;98.08568824065634;Anna R          ;15;1.3673655423883317;Anjali Sridhar  ;7;0.6381039197812215;Sourabh Bajaj   ;2;0.18231540565177756;1097;false;4
tensorflow\python\keras\_impl\keras\initializers.py;Francois Chollet      ;199;93.42723004694835;A. Unique TensorFlower;3;1.408450704225352;Anna R                ;11;5.164319248826291;Anjali Sridhar        ;3;1.408450704225352;213;false;4
tensorflow\python\keras\_impl\keras\applications\mobilenet.py;Francois Chollet;663;96.36627906976744;Neal Wu         ;2;0.29069767441860467;Anjali Sridhar  ;21;3.052325581395349;Anna R          ;5;0.7267441860465116;688;false;4
tensorflow\python\keras\_impl\keras\applications\resnet50.py;Francois Chollet;290;95.39473684210526;Anjali Sridhar  ;10;3.289473684210526;Anna R          ;4;1.3157894736842106;Jonathan Hseu   ;3;0.9868421052631579;304;false;4
tensorflow\python\keras\_impl\keras\applications\vgg16.py;Francois Chollet;229;95.41666666666667;Anjali Sridhar  ;9;3.75;Anna R          ;3;1.25;Dandelion Man?  ;2;0.8333333333333334;240;false;4
tensorflow\python\keras\_impl\keras\preprocessing\sequence.py;Francois Chollet;243;97.59036144578313;Anna R          ;5;2.0080321285140563;Benoit Steiner  ;2;0.8032128514056225;Anjali Sridhar  ;2;0.8032128514056225;249;false;4
tensorflow\python\keras\_impl\keras\utils\data_utils.py;Francois Chollet      ;713;88.35192069392812;Anjali Sridhar        ;80;9.913258983890954;Anna R                ;6;0.7434944237918215;A. Unique TensorFlower;11;1.3630731102850062;807;false;4
tensorflow\python\keras\_impl\keras\wrappers\scikit_learn.py;Francois Chollet;344;96.62921348314607;Anna R          ;4;1.1235955056179776;Anjali Sridhar  ;9;2.5280898876404496;Jonathan Hseu   ;2;0.5617977528089888;356;true;4
tensorflow\python\layers\maxout.py;Patrick Nguyen  ;92;82.88288288288288;Alexandre Passos;2;1.8018018018018018;Yifei Feng      ;18;16.216216216216218;Haichen "HC" Li ;2;1.8018018018018018;111;false;4
tensorflow\python\ops\gradients.py;A. Unique TensorFlower;1;2.9411764705882355;Manjunath Kudlur      ;16;47.05882352941177;Vijay Vasudevan       ;7;20.58823529411765;Patrick Nguyen        ;13;38.23529411764706;34;false;4
tensorflow\python\ops\image_grad.py;A. Unique TensorFlower;69;53.90625;Manjunath Kudlur      ;38;29.6875;Vijay Vasudevan       ;19;14.84375;Asim Shankar          ;5;3.90625;128;false;4
tensorflow\python\ops\sets_impl.py;Patrick Nguyen;214;61.671469740634;Anna R        ;6;1.7291066282420748;Shanqing Cai  ;2;0.5763688760806917;Mark Daoust   ;128;36.887608069164266;347;false;4
tensorflow\python\ops\state_grad.py;A. Unique TensorFlower;13;23.214285714285715;Manjunath Kudlur      ;27;48.214285714285715;Vijay Vasudevan       ;14;25;Jack Rae              ;5;8.928571428571429;56;false;4
