File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;File Lines;Learning;NbOthors
tensorflow\python\estimator\estimator_lib.py;Jonathan Hseu         ;39;44.827586206896555;Mustafa Ispir         ;19;21.839080459770116;A. Unique TensorFlower;11;12.64367816091954;Martin Wicke          ;19;21.839080459770116;Igor Saprykin         ;3;3.4482758620689653;87;false;5
tensorflow\python\estimator\exporter.py;Igor Saprykin;223;83.83458646616542;Anna R       ;5;1.8796992481203008;Jianwei Xie  ;15;5.639097744360902;David Soergel;16;6.015037593984962;Martin Wicke ;11;4.135338345864661;266;false;5
tensorflow\python\estimator\util.py;Jianwei Xie           ;35;60.3448275862069;Martin Wicke          ;2;3.4482758620689653;A. Unique TensorFlower;20;34.48275862068966;Akshay Agrawal        ;3;5.172413793103448;Dandelion Man?        ;2;3.4482758620689653;58;false;5
tensorflow\python\estimator\canned\dnn.py;A. Unique TensorFlower;444;87.92079207920793;Anna R                ;4;0.7920792079207921;Jonathan Hseu         ;8;1.5841584158415842;Jianwei Xie           ;28;5.544554455445544;Mustafa Ispir         ;25;4.9504950495049505;505;false;5
tensorflow\python\estimator\canned\dnn_linear_combined.py;Mustafa Ispir         ;330;57.59162303664922;A. Unique TensorFlower;205;35.776614310645726;Anna R                ;4;0.6980802792321117;Jonathan Hseu         ;7;1.2216404886561956;Jianwei Xie           ;31;5.4101221640488655;573;false;5
tensorflow\python\estimator\canned\linear.py;A. Unique TensorFlower;387;86.96629213483146;Anna R                ;4;0.898876404494382;Jonathan Hseu         ;6;1.348314606741573;Jianwei Xie           ;27;6.067415730337078;Mustafa Ispir         ;25;5.617977528089888;445;false;5
tensorflow\python\estimator\export\export.py;David Soergel         ;323;95.28023598820059;A. Unique TensorFlower;10;2.949852507374631;Anna R                ;5;1.4749262536873156;Sourabh Bajaj         ;2;0.5899705014749262;Shanqing Cai          ;3;0.8849557522123894;339;false;5
tensorflow\python\framework\graph_util_impl.py;Patrick Nguyen        ;258;72.47191011235955;Shanqing Cai          ;5;1.404494382022472;Anna R                ;7;1.9662921348314606;A. Unique TensorFlower;83;23.314606741573034;Derek Murray          ;7;1.9662921348314606;356;false;5
tensorflow\python\keras\_impl\keras\datasets\imdb.py;Francois Chollet      ;130;87.83783783783784;Anna R                ;4;2.7027027027027026;Benoit Steiner        ;2;1.3513513513513513;Anjali Sridhar        ;13;8.783783783783784;A. Unique TensorFlower;3;2.027027027027027;148;false;5
tensorflow\python\keras\_impl\keras\datasets\reuters.py;Francois Chollet      ;120;89.55223880597015;Anna R                ;4;2.985074626865672;Benoit Steiner        ;2;1.492537313432836;Anjali Sridhar        ;10;7.462686567164179;A. Unique TensorFlower;2;1.492537313432836;134;false;5
tensorflow\python\keras\_impl\keras\layers\core.py;Francois Chollet      ;747;86.9615832363213;Anjali Sridhar        ;96;11.175785797438882;Anna R                ;15;1.7462165308498254;Dandelion Man?        ;2;0.23282887077997672;A. Unique TensorFlower;3;0.3492433061699651;859;false;5
tensorflow\python\keras\_impl\keras\utils\generic_utils.py;Francois Chollet      ;369;72.21135029354207;Anjali Sridhar        ;129;25.244618395303327;A. Unique TensorFlower;4;0.7827788649706457;Charles Nicholson     ;5;0.9784735812133072;Anna R                ;8;1.5655577299412915;511;false;5
tensorflow\python\layers\layers.py;Patrick Nguyen  ;34;26.356589147286822;Francois Chollet;91;70.54263565891473;Dan Ringwalt    ;3;2.3255813953488373;Allen Lavoie    ;2;1.550387596899225;Asim Shankar    ;3;2.3255813953488373;129;false;5
tensorflow\python\layers\network.py;Allen Lavoie          ;874;85.3515625;Anna R                ;3;0.29296875;Francois Chollet      ;134;13.0859375;A. Unique TensorFlower;10;0.9765625;Anjali Sridhar        ;7;0.68359375;1024;false;5
tensorflow\python\layers\utils.py;A. Unique TensorFlower;101;33.779264214046826;Francois Chollet      ;180;60.20066889632107;Allen Lavoie          ;18;6.0200668896321075;Michael Case          ;2;0.6688963210702341;Igor Ganichev         ;2;0.6688963210702341;299;false;5
tensorflow\python\lib\io\python_io.py;A. Unique TensorFlower;5;13.157894736842104;Manjunath Kudlur      ;22;57.89473684210526;Patrick Nguyen        ;6;15.789473684210526;Vijay Vasudevan       ;5;13.157894736842104;Josh Levenberg        ;4;10.526315789473685;38;false;5
tensorflow\python\ops\distributions\exponential.py;A. Unique TensorFlower;61;39.869281045751634;Eugene Brevdo         ;12;7.8431372549019605;Anna R                ;3;1.9607843137254901;Joshua V. Dillon      ;73;47.712418300653596;Ian Langmore          ;8;5.228758169934641;153;false;5
tensorflow\python\ops\distributions\kullback_leibler.py;Eugene Brevdo         ;143;76.06382978723404;Charles Nicholson     ;4;2.127659574468085;Anna R                ;4;2.127659574468085;A. Unique TensorFlower;8;4.25531914893617;Joshua V. Dillon      ;33;17.5531914893617;188;false;5
tensorflow\python\ops\distributions\laplace.py;A. Unique TensorFlower;152;66.66666666666667;Eugene Brevdo         ;7;3.0701754385964914;Anna R                ;3;1.3157894736842106;Joshua V. Dillon      ;55;24.12280701754386;Ian Langmore          ;15;6.578947368421052;228;false;5
tensorflow\python\ops\linalg\linear_operator_diag.py;Ian Langmore          ;235;91.43968871595331;A. Unique TensorFlower;7;2.7237354085603114;Eugene Brevdo         ;3;1.1673151750972763;Anna R                ;3;1.1673151750972763;Joshua V. Dillon      ;13;5.058365758754864;257;false;5
tensorflow\python\ops\linalg\linear_operator_full_matrix.py;Ian Langmore          ;171;92.93478260869566;Eugene Brevdo         ;2;1.0869565217391304;Anna R                ;3;1.6304347826086956;A. Unique TensorFlower;3;1.6304347826086956;Joshua V. Dillon      ;9;4.891304347826087;184;false;5
tensorflow\python\ops\linalg\linear_operator_lower_triangular.py;Ian Langmore          ;189;87.09677419354838;A. Unique TensorFlower;5;2.304147465437788;Eugene Brevdo         ;16;7.373271889400922;Anna R                ;3;1.3824884792626728;Joshua V. Dillon      ;8;3.686635944700461;217;false;5
tensorflow\python\saved_model\builder_impl.py;Patrick Nguyen        ;326;62.57197696737044;Sukriti Ramesh        ;62;11.900191938579654;Anna R                ;3;0.5758157389635317;A. Unique TensorFlower;108;20.72936660268714;David Soergel         ;26;4.990403071017274;521;false;5
tensorflow\python\summary\text_summary.py;Dandelion Mané        ;55;75.34246575342466;Nick Felt             ;4;5.47945205479452;A. Unique TensorFlower;13;17.80821917808219;Anna R                ;3;4.109589041095891;Benoit Steiner        ;2;2.73972602739726;73;false;5
tensorflow\python\tools\import_pb_to_tensorboard.py;Dan Ringwalt    ;48;63.1578947368421;Brian Williammee;25;32.89473684210526;Jonathan Hseu   ;2;2.6315789473684212;Dan Jarvis      ;2;2.6315789473684212;Dan J           ;3;3.9473684210526314;76;false;5
tensorflow\python\tools\optimize_for_inference.py;Pete Warden           ;63;43.15068493150685;A. Unique TensorFlower;33;22.602739726027398;Vijay Vasudevan       ;42;28.767123287671232;Justine Tunney        ;10;6.8493150684931505;Rohan Jain            ;2;1.36986301369863;146;false;5
tensorflow\python\tools\optimize_for_inference_lib.py;Pete Warden           ;333;69.08713692946058;Jonathan Hseu         ;33;6.846473029045643;Justine Tunney        ;65;13.485477178423237;A. Unique TensorFlower;53;10.995850622406639;yegord                ;2;0.4149377593360996;482;false;5
tensorflow\python\tools\strip_unused_lib.py;Pete Warden           ;73;59.83606557377049;Justine Tunney        ;22;18.0327868852459;A. Unique TensorFlower;12;9.836065573770492;Mark Daoust           ;17;13.934426229508198;Rohan Jain            ;2;1.639344262295082;122;false;5
tensorflow\python\training\adagrad_da.py;A. Unique TensorFlower;165;95.93023255813954;Anna R                ;3;1.744186046511628;Jonathan Hseu         ;3;1.744186046511628;Vijay Vasudevan       ;2;1.1627906976744187;Alexandre Passos      ;3;1.744186046511628;172;false;5
tensorflow\python\training\gradient_descent.py;A. Unique TensorFlower;16;21.91780821917808;Manjunath Kudlur      ;49;67.12328767123287;Vijay Vasudevan       ;5;6.8493150684931505;Anna R                ;3;4.109589041095891;Alexandre Passos      ;4;5.47945205479452;73;false;5
tensorflow\python\training\proximal_adagrad.py;A. Unique TensorFlower;115;95.04132231404958;Olivia Nordquist      ;2;1.6528925619834711;Anna R                ;3;2.479338842975207;Jonathan Hseu         ;2;1.6528925619834711;Alexandre Passos      ;3;2.479338842975207;121;false;5
tensorflow\python\util\all_util.py;A. Unique TensorFlower;17;14.049586776859504;Geoffrey Irving       ;33;27.272727272727273;Patrick Nguyen        ;67;55.37190082644628;Charles Nicholson     ;5;4.132231404958677;Martin Wicke          ;3;2.479338842975207;121;false;5
tensorflow\python\util\protobuf\compare.py;A. Unique TensorFlower;28;10.64638783269962;Manjunath Kudlur      ;216;82.12927756653993;Vijay Vasudevan       ;10;3.802281368821293;Eugene Brevdo         ;10;3.802281368821293;Josh Levenberg        ;3;1.1406844106463878;263;false;5
tensorflow\tools\api\lib\python_object_to_proto_visitor.py;Gunhan Gulsoy    ;156;90.17341040462428;Taehoon Lee      ;2;1.1560693641618498;Charles Nicholson;10;5.780346820809249;Mark Daoust      ;2;1.1560693641618498;Dandelion Man?   ;7;4.046242774566474;173;false;5
tensorflow\tools\ci_build\update_version.py;A. Unique TensorFlower;301;81.13207547169812;Andrew Harp           ;2;0.5390835579514824;Amit Patankar         ;65;17.52021563342318;Martin Wicke          ;4;1.0781671159029649;Shanqing Cai          ;3;0.8086253369272237;371;false;5
tensorflow\tools\common\public_api.py;Martin Wicke          ;73;53.284671532846716;Charles Nicholson     ;4;2.9197080291970803;A. Unique TensorFlower;41;29.927007299270073;Mark Daoust           ;21;15.328467153284672;Dan Ringwalt          ;2;1.4598540145985401;137;false;5
