File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;File Lines;Learning;NbOthors
tensorflow\python\eager\core.py;Mark Heffernan;49;77.77777777777777;Akshay Modi   ;15;23.80952380952381;63;false;2
tensorflow\python\eager\graph_only_ops.py;Mark Heffernan;46;85.18518518518519;Ali Yahya     ;9;16.666666666666668;54;false;2
tensorflow\python\estimator\canned\metric_keys.py;A. Unique TensorFlower;40;95.23809523809524;Mustafa Ispir         ;3;7.142857142857143;42;false;2
tensorflow\python\estimator\canned\parsing_utils.py;Mustafa Ispir;299;99.00662251655629;Anna R       ;4;1.3245033112582782;302;false;2
tensorflow\python\estimator\canned\prediction_keys.py;A. Unique TensorFlower;33;97.05882352941177;Mustafa Ispir         ;2;5.882352941176471;34;false;2
tensorflow\python\estimator\inputs\pandas_io.py;Jianwei Xie;121;98.3739837398374;Anna R     ;3;2.4390243902439024;123;false;2
tensorflow\python\feature_column\feature_column_lib.py;Mustafa Ispir         ;43;97.72727272727273;A. Unique TensorFlower;2;4.545454545454546;44;false;2
tensorflow\python\framework\c_api_util.py;Skye Wanderman-Milne;130;86.66666666666667;Igor Ganichev       ;21;14;150;false;2
tensorflow\python\grappler\cluster.py;Benoit Steiner;120;86.33093525179856;Yao Zhang     ;20;14.388489208633093;139;false;2
tensorflow\python\grappler\cost_analyzer.py;Benoit Steiner;73;87.95180722891567;Yao Zhang     ;11;13.25301204819277;83;false;2
tensorflow\python\grappler\cost_analyzer_tool.py;Yao Zhang             ;102;91.89189189189189;A. Unique TensorFlower;10;9.00900900900901;111;false;2
tensorflow\python\grappler\tf_optimizer.py;Benoit Steiner;40;93.02325581395348;Yao Zhang     ;4;9.30232558139535;43;false;2
tensorflow\python\keras\applications\inception_v3\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\applications\mobilenet\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\applications\resnet50\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\applications\vgg16\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\applications\vgg19\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\applications\xception\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\datasets\__init__.py;Francois Chollet;30;96.7741935483871;Anjali Sridhar  ;2;6.451612903225806;31;false;2
tensorflow\python\keras\datasets\boston_housing\__init__.py;Yifei Feng      ;7;28;Francois Chollet;19;76;25;false;2
tensorflow\python\keras\datasets\cifar10\__init__.py;Yifei Feng      ;7;28;Francois Chollet;19;76;25;false;2
tensorflow\python\keras\datasets\cifar100\__init__.py;Yifei Feng      ;7;28;Francois Chollet;19;76;25;false;2
tensorflow\python\keras\datasets\imdb\__init__.py;Yifei Feng      ;8;30.76923076923077;Francois Chollet;19;73.07692307692308;26;false;2
tensorflow\python\keras\datasets\mnist\__init__.py;Yifei Feng      ;7;28;Francois Chollet;19;76;25;false;2
tensorflow\python\keras\datasets\reuters\__init__.py;Yifei Feng      ;8;30.76923076923077;Francois Chollet;19;73.07692307692308;26;false;2
tensorflow\python\keras\models\__init__.py;Yifei Feng      ;13;41.935483870967744;Francois Chollet;19;61.29032258064516;31;false;2
tensorflow\python\keras\preprocessing\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\preprocessing\sequence\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
