File;Othor1;LineOthor1;Contribution1;Lines File; Learning ; NbOthors
tensorflow\contrib\gan\python\eval\python\classifier_metrics.py;drpngx;28;100;28;false;1
tensorflow\contrib\gan\python\eval\python\eval_utils.py;drpngx;28;100;28;false;1
tensorflow\contrib\gan\python\eval\python\eval_utils_impl.py;drpngx;134;100;134;false;1
tensorflow\contrib\gan\python\eval\python\sliced_wasserstein.py;A. Unique TensorFlower;28;100;28;false;1
tensorflow\contrib\gan\python\eval\python\sliced_wasserstein_impl.py;A. Unique TensorFlower;282;100;282;false;1
tensorflow\contrib\gan\python\eval\python\summaries.py;drpngx;28;100;28;false;1
tensorflow\contrib\gan\python\features\python\clip_weights_impl.py;A. Unique TensorFlower;80;100;80;false;1
tensorflow\contrib\gan\python\features\python\conditioning_utils_impl.py;A. Unique TensorFlower;112;100;112;false;1
tensorflow\contrib\gan\python\features\python\random_tensor_pool.py;A. Unique TensorFlower;35;100;35;false;1
tensorflow\contrib\gan\python\features\python\random_tensor_pool_impl.py;A. Unique TensorFlower;139;100;139;false;1
tensorflow\contrib\gan\python\features\python\virtual_batchnorm_impl.py;A. Unique TensorFlower;306;100;306;false;1
tensorflow\contrib\gan\python\losses\python\losses_impl.py;A. Unique TensorFlower;981;100;981;false;1
tensorflow\contrib\hooks\__init__.py;Darren Garvey;32;100;32;false;1
tensorflow\contrib\hooks\python\__init__.py;Darren Garvey;24;100;24;false;1
tensorflow\contrib\hooks\python\training\__init__.py;Darren Garvey;22;100;22;false;1
tensorflow\contrib\kafka\__init__.py;Yong Tang;32;100;32;false;1
tensorflow\contrib\kafka\python\ops\kafka_dataset_ops.py;Michael Case;74;100;74;false;1
tensorflow\contrib\keras\api\__init__.py;Robin Richtsfeld;18;100;18;false;1
tensorflow\contrib\keras\api\keras\__init__.py;Francois Chollet;44;100;44;false;1
tensorflow\contrib\keras\api\keras\applications\__init__.py;Francois Chollet;36;100;36;false;1
tensorflow\contrib\keras\api\keras\datasets\__init__.py;Francois Chollet;30;100;30;false;1
tensorflow\contrib\keras\api\keras\preprocessing\__init__.py;Francois Chollet;27;100;27;false;1
tensorflow\contrib\keras\api\keras\wrappers\__init__.py;Francois Chollet;25;100;25;false;1
tensorflow\contrib\kernel_methods\__init__.py;Petros Mol;30;100;30;false;1
tensorflow\contrib\kernel_methods\python\kernel_estimators.py;Petros Mol;339;100;339;false;1
tensorflow\contrib\kernel_methods\python\mappers\dense_kernel_mapper.py;Petros Mol;59;100;59;false;1
tensorflow\contrib\kernel_methods\python\mappers\random_fourier_features.py;Petros Mol;162;100;162;false;1
tensorflow\contrib\kfac\__init__.py;A. Unique TensorFlower;46;100;46;false;1
tensorflow\contrib\kfac\python\ops\curvature_matrix_vector_products.py;A. Unique TensorFlower;183;100;183;false;1
tensorflow\contrib\kfac\python\ops\curvature_matrix_vector_products_lib.py;A. Unique TensorFlower;30;100;30;false;1
tensorflow\contrib\kfac\python\ops\estimator_lib.py;A. Unique TensorFlower;30;100;30;false;1
tensorflow\contrib\kfac\python\ops\fisher_blocks.py;A. Unique TensorFlower;1112;100;1112;false;1
tensorflow\contrib\kfac\python\ops\fisher_blocks_lib.py;A. Unique TensorFlower;45;100;45;false;1
tensorflow\contrib\kfac\python\ops\fisher_factors_lib.py;A. Unique TensorFlower;38;100;38;false;1
tensorflow\contrib\kfac\python\ops\layer_collection_lib.py;A. Unique TensorFlower;44;100;44;false;1
tensorflow\contrib\kfac\python\ops\loss_functions_lib.py;A. Unique TensorFlower;40;100;40;false;1
tensorflow\contrib\kfac\python\ops\optimizer_lib.py;A. Unique TensorFlower;30;100;30;false;1
tensorflow\contrib\kfac\python\ops\op_queue_lib.py;A. Unique TensorFlower;30;100;30;false;1
tensorflow\contrib\kfac\python\ops\utils.py;A. Unique TensorFlower;483;100;483;false;1
tensorflow\contrib\kfac\python\ops\utils_lib.py;A. Unique TensorFlower;47;100;47;false;1
tensorflow\contrib\labeled_tensor\python\ops\io_ops.py;Stephan Hoyer;178;100;178;false;1
tensorflow\contrib\labeled_tensor\python\ops\sugar.py;Stephan Hoyer;131;100;131;false;1
tensorflow\contrib\layers\python\layers\normalization.py;A. Unique TensorFlower;160;100;160;false;1
tensorflow\contrib\layers\python\layers\rev_block_lib.py;A. Unique TensorFlower;583;100;583;false;1
tensorflow\contrib\learn\python\learn\learn_runner_lib.py;Jianwei Xie;30;100;30;false;1
tensorflow\contrib\learn\python\learn\session_run_hook.py;Mustafa Ispir;28;100;28;false;1
tensorflow\contrib\learn\python\learn\learn_io\numpy_io.py;Jianwei Xie;38;100;38;false;1
tensorflow\contrib\legacy_seq2seq\__init__.py;Jianwei Xie;54;100;54;false;1
tensorflow\contrib\legacy_seq2seq\python\__init__.py;Robin Richtsfeld;18;100;18;false;1
tensorflow\contrib\libsvm\__init__.py;Yong Tang;32;100;32;false;1
tensorflow\contrib\libsvm\python\ops\libsvm_ops.py;A. Unique TensorFlower;50;100;50;false;1
tensorflow\contrib\linalg\python\__init__.py;Ian Langmore;19;100;19;false;1
tensorflow\contrib\lite\toco\python\toco_from_protos.py;Andrew Selle;63;100;63;false;1
tensorflow\contrib\lite\toco\python\toco_wrapper.py;Andrew Selle;35;100;35;false;1
tensorflow\contrib\losses\python\metric_learning\__init__.py;A. Unique TensorFlower;39;100;39;false;1
tensorflow\contrib\meta_graph_transform\__init__.py;David Soergel;28;100;28;false;1
tensorflow\contrib\metrics\python\ops\confusion_matrix_ops.py;A. Unique TensorFlower;30;100;30;false;1
tensorflow\contrib\metrics\python\ops\set_ops.py;A. Unique TensorFlower;28;100;28;false;1
tensorflow\contrib\model_pruning\__init__.py;A. Unique TensorFlower;47;100;47;false;1
tensorflow\contrib\model_pruning\python\learning.py;A. Unique TensorFlower;188;100;188;false;1
tensorflow\contrib\model_pruning\python\pruning.py;A. Unique TensorFlower;672;100;672;false;1
tensorflow\contrib\model_pruning\python\layers\layers.py;A. Unique TensorFlower;363;100;363;false;1
